date,home_team,away_team,home_score,away_score
2021-09-30,Hawks,Bulls,102,116
2021-10-01,Pacers,Rockets,110,101
2021-10-02,Spurs,Warriors,103,107
2021-10-03,Knicks,Suns,98,105
2021-10-04,Cavaliers,Nets,112,96
2021-10-05,Bucks,Timberwolves,101,111
2021-10-06,Jazz,Grizzlies,100,110
2021-10-07,Cavaliers,Hornets,80,106
2021-10-08,Celtics,Magic,105,106
2021-10-09,Trail Blazers,Thunder,85,134
2021-10-10,Knicks,Clippers,124,120
2021-10-11,Thunder,Kings,116,104
2021-10-12,Hornets,Bulls,134,104
2021-10-13,Mavericks,Hawks,90,93
2021-10-14,Thunder,Nuggets,112,106
2021-10-15,Bucks,Suns,89,147
2021-10-16,Jazz,Bulls,107,112
2021-10-17,Jazz,Suns,126,106
2021-10-18,Spurs,Pistons,116,84
2021-10-19,Heat,Knicks,124,95
2021-10-20,Heat,Pistons,122,109
2021-10-21,Hornets,Bulls,109,100
2021-10-22,Timberwolves,Thunder,99,112
2021-10-23,Magic,Hawks,122,116
2021-10-24,Suns,Hawks,131,111
2021-10-25,Warriors,Grizzlies,118,98
2021-10-26,Timberwolves,Pacers,132,123
2021-10-27,Wizards,Bulls,100,107
2021-10-28,Timberwolves,Hornets,134,119
2021-10-29,Grizzlies,Nets,90,96
2021-10-30,Mavericks,Trail Blazers,112,113
2021-10-31,Spurs,Bulls,120,108
2021-11-01,Clippers,Spurs,95,113
2021-11-02,Pacers,Hawks,107,88
2021-11-03,Celtics,Kings,120,100
2021-11-04,Timberwolves,Grizzlies,105,96
2021-11-05,Hornets,Pistons,96,102
2021-11-06,Raptors,Celtics,121,121
2021-11-07,Knicks,Grizzlies,91,127
2021-11-08,Suns,76ers,80,131
2021-11-09,Timberwolves,Nets,120,99
2021-11-10,Timberwolves,Thunder,135,113
2021-11-11,Warriors,Trail Blazers,112,98
2021-11-12,Bucks,Celtics,142,101
2021-11-13,Cavaliers,Bucks,91,115
2021-11-14,Cavaliers,Bulls,114,90
2021-11-15,Nuggets,Mavericks,82,137
2021-11-16,Nuggets,Suns,115,108
2021-11-17,Timberwolves,Clippers,115,103
2021-11-18,Lakers,Thunder,127,90
2021-11-19,76ers,Wizards,117,110
2021-11-20,Timberwolves,Lakers,93,114
2021-11-21,Clippers,Timberwolves,129,80
2021-11-22,Hornets,Pelicans,96,116
2021-11-23,Heat,Jazz,120,117
2021-11-24,Cavaliers,Magic,105,102
2021-11-25,Pelicans,Spurs,94,108
2021-11-26,Cavaliers,Bucks,109,114
2021-11-27,Pistons,Cavaliers,113,99
2021-11-28,Mavericks,Timberwolves,108,107
2021-11-29,Cavaliers,Rockets,82,112
2021-11-30,Raptors,Wizards,128,110
2021-12-01,Kings,Warriors,134,111
2021-12-02,Timberwolves,Bulls,108,92
2021-12-03,Magic,Celtics,97,120
2021-12-04,Suns,Pacers,116,120
2021-12-05,Rockets,Trail Blazers,127,102
2021-12-06,Thunder,76ers,118,104
2021-12-07,Pistons,Spurs,121,119
2021-12-08,Thunder,Jazz,109,100
2021-12-09,Magic,Grizzlies,100,106
2021-12-10,Rockets,Bucks,118,107
2021-12-11,Wizards,Nuggets,110,121
2021-12-12,76ers,Cavaliers,96,106
2021-12-13,Pistons,Pacers,106,85
2021-12-14,Rockets,Nuggets,113,126
2021-12-15,Rockets,Pacers,147,103
2021-12-16,76ers,Pacers,117,127
2021-12-17,Mavericks,Rockets,106,117
2021-12-18,Celtics,Bucks,107,112
2021-12-19,Warriors,Grizzlies,89,135
2021-12-20,Wizards,Bulls,113,115
2021-12-21,Jazz,Hawks,102,104
2021-12-22,Nets,Grizzlies,101,115
2021-12-23,Trail Blazers,Bulls,117,106
2021-12-24,Nets,Knicks,86,113
2021-12-25,Raptors,Cavaliers,119,93
2021-12-26,Rockets,Kings,126,110
2021-12-27,Mavericks,Pacers,111,102
2021-12-28,Rockets,Jazz,110,99
2021-12-29,Raptors,Nets,104,122
2021-12-30,Magic,Jazz,133,124
2021-12-31,Pelicans,Trail Blazers,109,93
2022-01-01,Pistons,Thunder,97,111
2022-01-02,76ers,Spurs,126,107
2022-01-03,Bulls,Warriors,114,117
2022-01-04,Pelicans,Knicks,110,107
2022-01-05,Warriors,Kings,98,104
2022-01-06,Kings,Hornets,110,121
2022-01-07,Pacers,Knicks,103,94
2022-01-08,Trail Blazers,Timberwolves,102,138
2022-01-09,Raptors,Pelicans,113,117
2022-01-10,Knicks,Wizards,108,95
2022-01-11,Nuggets,Spurs,126,102
2022-01-12,Bulls,Bucks,114,110
2022-01-13,Bucks,Cavaliers,115,92
2022-01-14,Hawks,Bulls,111,121
2022-01-15,Nuggets,Heat,106,87
2022-01-16,Lakers,Jazz,129,112
2022-01-17,Clippers,Hornets,136,90
2022-01-18,Timberwolves,Spurs,102,97
2022-01-19,Hawks,Clippers,108,118
2022-01-20,Clippers,Cavaliers,105,103
2022-01-21,Hornets,Pelicans,110,106
2022-01-22,Trail Blazers,Pistons,109,100
2022-01-23,Bulls,Trail Blazers,113,89
2022-01-24,Hawks,Lakers,109,104
2022-01-25,Cavaliers,Clippers,109,100
2022-01-26,Celtics,Pistons,106,135
2022-01-27,Pacers,Nuggets,110,107
2022-01-28,Warriors,Mavericks,113,112
2022-01-29,Trail Blazers,Lakers,115,117
2022-01-30,Magic,Hornets,129,117
2022-01-31,Timberwolves,Nuggets,112,106
2022-02-01,Thunder,Cavaliers,130,130
2022-02-02,Mavericks,Hornets,124,107
2022-02-03,Jazz,Nets,98,112
2022-02-04,Nets,Wizards,135,80
2022-02-05,Magic,Celtics,111,108
2022-02-06,Timberwolves,Bulls,100,98
2022-02-07,Pacers,Trail Blazers,102,109
2022-02-08,Spurs,Trail Blazers,94,104
2022-02-09,Jazz,Mavericks,112,121
2022-02-10,Nets,Suns,101,114
2022-02-11,Pistons,Cavaliers,94,98
2022-02-12,Magic,Wizards,121,104
2022-02-13,Suns,Jazz,126,104
2022-02-14,Raptors,Nets,94,98
2022-02-15,Rockets,Trail Blazers,90,119
2022-02-16,Nuggets,Lakers,103,119
2022-02-17,Trail Blazers,76ers,101,108
2022-02-18,Hornets,Celtics,103,132
2022-02-19,Clippers,Hornets,125,80
2022-02-20,Cavaliers,Warriors,122,99
2022-02-21,Pelicans,Jazz,124,112
2022-02-22,Kings,Hornets,114,122
2022-02-23,Suns,Pelicans,121,112
2022-02-24,Nuggets,Grizzlies,114,125
2022-02-25,Wizards,Pacers,125,90
2022-02-26,Magic,Clippers,119,101
2022-02-27,Jazz,Pelicans,95,125
2022-02-28,Lakers,Pistons,99,114
2022-03-01,Heat,Thunder,115,104
2022-03-02,Nets,Nuggets,117,103
2022-03-03,Mavericks,Celtics,102,114
2022-03-04,Hawks,Pelicans,88,126
2022-03-05,Nuggets,Wizards,115,93
2022-03-06,Magic,Cavaliers,86,108
2022-03-07,Pacers,Jazz,108,122
2022-03-08,Rockets,Magic,100,114
2022-03-09,Heat,Spurs,124,122
2022-03-10,Mavericks,Cavaliers,108,123
2022-03-11,Cavaliers,Raptors,92,107
2022-03-12,Nets,Magic,102,114
2022-03-13,Bulls,Trail Blazers,121,106
2022-03-14,Jazz,Mavericks,103,113
2022-03-15,Thunder,Celtics,107,102
2022-03-16,Lakers,Pacers,117,114
2022-03-17,76ers,Spurs,118,121
2022-03-18,Nuggets,Cavaliers,98,104
2022-03-19,Jazz,Nuggets,102,113
2022-03-20,Thunder,Wizards,114,102
2022-03-21,Nuggets,Knicks,118,121
2022-03-22,Magic,Cavaliers,85,117
2022-03-23,Raptors,Nets,110,91
2022-03-24,Lakers,Grizzlies,100,80
2022-03-25,Lakers,Nets,122,128
2022-03-26,Wizards,76ers,112,110
2022-03-27,Raptors,Celtics,131,102
2022-03-28,Grizzlies,Timberwolves,113,97
2022-03-29,Clippers,Thunder,122,104
2022-03-30,Kings,Pelicans,92,136
2022-03-31,Pacers,Jazz,98,92
2022-04-01,Timberwolves,Clippers,101,112
2022-04-02,Nuggets,Nets,102,110
2022-04-03,Hawks,Bulls,108,140
2022-04-04,Spurs,Trail Blazers,120,104
2022-04-05,Suns,Pistons,110,107
2022-04-06,Bulls,Wizards,116,125
2022-04-07,Spurs,Trail Blazers,99,99
2022-04-08,Bulls,Lakers,103,96
2022-04-09,Raptors,Nuggets,103,105
2022-04-10,Jazz,Bucks,95,100
2022-04-11,Nuggets,Hornets,117,108
2022-04-12,Mavericks,Wizards,127,115
2022-04-13,Warriors,Nuggets,112,98
2022-04-14,Celtics,Jazz,123,97
2022-04-15,Trail Blazers,Kings,102,103
2022-04-16,76ers,Hawks,112,114
2022-04-17,Jazz,Magic,121,126
2022-04-18,Wizards,Hawks,119,103
2022-04-19,Pacers,Raptors,111,95
2022-04-20,Pacers,Lakers,122,94
2022-04-21,Spurs,Knicks,111,123
2022-04-22,Rockets,Hornets,122,109
2022-04-23,Clippers,Spurs,127,123
2022-04-24,Kings,Warriors,96,112
2022-04-25,Pistons,Wizards,118,116
2022-04-26,Hornets,Pistons,115,111
2022-04-27,Suns,Spurs,111,113
2022-04-28,Wizards,Hawks,108,116
2022-04-29,Bulls,Magic,106,104
2022-04-30,Mavericks,Kings,114,103
2022-05-01,Pacers,Wizards,108,112
2022-05-02,Nets,Kings,125,83
2022-05-03,Bulls,Pistons,128,104
2022-05-04,Cavaliers,Thunder,135,106
2022-05-05,Magic,Wizards,126,91
2022-05-06,Lakers,Pelicans,97,126
2022-05-07,Mavericks,Raptors,104,92
2022-05-08,Kings,Mavericks,108,125
2022-05-09,Hawks,Heat,98,126
2022-05-10,Mavericks,Celtics,119,111
2022-05-11,Jazz,Warriors,112,114
2022-05-12,76ers,Heat,132,108
2022-05-13,Clippers,Rockets,122,114
2022-05-14,Warriors,Wizards,109,113
2022-05-15,Nets,Clippers,93,122
2022-05-16,Kings,76ers,110,103
2022-05-17,Wizards,Pacers,105,105
2022-05-18,Pelicans,76ers,107,117
2022-05-19,Mavericks,Wizards,106,119
2022-05-20,Warriors,Bulls,103,103
2022-05-21,Spurs,Hornets,103,121
2022-05-22,Cavaliers,Pacers,112,104
2022-05-23,Magic,Timberwolves,104,130
2022-05-24,Nuggets,Wizards,120,111
2022-05-25,Raptors,Trail Blazers,80,120
2022-05-26,Heat,Thunder,85,106
2022-05-27,Suns,Pelicans,117,116
2022-05-28,Nuggets,Trail Blazers,122,102
2022-05-29,Pelicans,Pistons,98,102
2022-05-30,Nets,Celtics,80,123
2022-05-31,Cavaliers,Clippers,134,121
2022-06-01,Mavericks,Lakers,130,94
2022-06-02,Clippers,Rockets,133,90
2022-06-03,Nuggets,Hornets,130,106
2022-06-04,Cavaliers,Raptors,96,109
2022-06-05,76ers,Hornets,133,97
2022-06-06,Suns,Pacers,108,98
2022-06-07,Suns,Bucks,114,119
2022-06-08,Timberwolves,Bulls,89,130
2022-06-09,Timberwolves,Raptors,123,120
2022-06-10,Hornets,Raptors,94,90
2022-06-11,Spurs,Pistons,125,113
2022-06-12,Pelicans,Thunder,98,112
2022-06-13,Thunder,Celtics,83,99
2022-06-14,Cavaliers,Hornets,122,125
2022-06-15,Rockets,Lakers,135,117
2022-06-16,Nets,Magic,86,126
2022-06-17,Clippers,Heat,122,119
2022-06-18,Magic,Rockets,121,119
2022-06-19,Spurs,Warriors,116,114
2022-06-20,Cavaliers,Kings,102,97
2022-06-21,Mavericks,Heat,106,121
2022-06-22,Timberwolves,Jazz,135,108
2022-06-23,Magic,Mavericks,106,96
2022-06-24,Kings,Spurs,96,111
2022-06-25,Bulls,Jazz,101,103
2022-06-26,Clippers,Nuggets,119,104
2022-06-27,Jazz,Bulls,125,91
2022-06-28,Pistons,Spurs,93,117
2022-06-29,Bulls,Trail Blazers,99,129
2022-06-30,Grizzlies,Raptors,102,132
2022-07-01,Knicks,Thunder,92,119
2022-07-02,Wizards,Clippers,116,102
2022-07-03,Celtics,Hawks,114,150
2022-07-04,Knicks,Bulls,111,102
2022-07-05,76ers,Timberwolves,96,95
2022-07-06,Raptors,Pistons,123,116
2022-07-07,Thunder,Warriors,97,98
2022-07-08,Jazz,Pelicans,118,117
2022-07-09,Jazz,Rockets,113,105
2022-07-10,76ers,Warriors,113,89
2022-07-11,Rockets,Cavaliers,111,103
2022-07-12,Raptors,Bucks,101,126
2022-07-13,Magic,Nuggets,107,112
2022-07-14,Lakers,Bucks,110,110
2022-07-15,Rockets,Wizards,118,118
2022-07-16,Celtics,Suns,120,110
2022-07-17,Bulls,Grizzlies,85,96
2022-07-18,Bucks,Suns,107,116
2022-07-19,Rockets,Warriors,123,95
2022-07-20,Bucks,Magic,103,109
2022-07-21,Lakers,Jazz,106,107
2022-07-22,Thunder,Cavaliers,115,100
2022-07-23,Rockets,Bulls,80,104
2022-07-24,Kings,Cavaliers,96,111
2022-07-25,Thunder,Pistons,108,86
2022-07-26,Jazz,Mavericks,98,120
2022-07-27,Knicks,Timberwolves,110,97
2022-07-28,Hawks,Bulls,127,121
2022-07-29,Wizards,Raptors,99,118
2022-07-30,Bulls,Clippers,124,128
2022-07-31,Jazz,Hornets,103,123
2022-08-01,Kings,Wizards,109,101
2022-08-02,Nuggets,Grizzlies,122,116
2022-08-03,Nuggets,Wizards,86,90
2022-08-04,Wizards,Pelicans,119,102
2022-08-05,Pelicans,Timberwolves,111,91
2022-08-06,Thunder,Lakers,130,109
2022-08-07,Raptors,Timberwolves,83,97
2022-08-08,Celtics,Trail Blazers,107,109
2022-08-09,Pistons,Lakers,92,95
2022-08-10,Jazz,Hawks,102,112
2022-08-11,Knicks,Raptors,114,97
2022-08-12,Warriors,Knicks,140,127
2022-08-13,Trail Blazers,Knicks,100,92
2022-08-14,Grizzlies,Timberwolves,114,99
2022-08-15,Spurs,Suns,96,119
2022-08-16,Pistons,Cavaliers,112,118
2022-08-17,Pacers,Mavericks,116,106
2022-08-18,Nuggets,Warriors,104,106
2022-08-19,Clippers,Hornets,112,85
2022-08-20,Timberwolves,Bucks,134,95
2022-08-21,Heat,Raptors,106,100
2022-08-22,Pelicans,Pistons,110,109
2022-08-23,Thunder,Spurs,118,92
2022-08-24,Trail Blazers,Heat,141,96
2022-08-25,Rockets,Raptors,127,90
2022-08-26,Wizards,Bucks,142,108
2022-08-27,Trail Blazers,Wizards,101,90
2022-08-28,Kings,Knicks,121,117
2022-08-29,Warriors,Pelicans,124,116
2022-08-30,Heat,Pelicans,125,114
2022-08-31,Spurs,Kings,112,118
2022-09-01,Celtics,Suns,131,113
2022-09-02,Warriors,Mavericks,90,114
2022-09-03,Wizards,Pacers,111,105
2022-09-04,Raptors,Knicks,99,85
2022-09-05,Thunder,Magic,93,103
2022-09-06,Warriors,Pelicans,125,101
2022-09-07,Suns,76ers,106,102
2022-09-08,Grizzlies,Kings,110,98
2022-09-09,Rockets,Warriors,102,121
2022-09-10,76ers,Hawks,98,115
2022-09-11,Pistons,Jazz,125,103
2022-09-12,Jazz,Grizzlies,132,127
2022-09-13,Raptors,Grizzlies,126,97
2022-09-14,Spurs,Warriors,109,80
2022-09-15,Grizzlies,Celtics,121,108
2022-09-16,Hornets,Clippers,114,98
2022-09-17,Spurs,Trail Blazers,93,121
2022-09-18,Pistons,Mavericks,98,116
2022-09-19,Hornets,Knicks,118,86
2022-09-20,Thunder,Trail Blazers,93,116
2022-09-21,Trail Blazers,Magic,123,112
2022-09-22,Heat,Rockets,114,98
2022-09-23,Nuggets,Thunder,105,104
2022-09-24,Wizards,Heat,112,123
2022-09-25,Heat,Kings,122,100
2022-09-26,Grizzlies,Pelicans,111,98
2022-09-27,Knicks,Pelicans,85,118
2022-09-28,Bulls,Thunder,97,127
2022-09-29,Cavaliers,Mavericks,114,125
2022-09-30,Cavaliers,Spurs,124,108
2022-10-01,Raptors,Warriors,89,106
2022-10-02,Trail Blazers,Heat,110,109
2022-10-03,Grizzlies,Suns,101,114
2022-10-04,Spurs,Nuggets,91,119
2022-10-05,76ers,Mavericks,108,112
2022-10-06,Kings,Spurs,101,113
2022-10-07,Suns,Pelicans,120,107
2022-10-08,Cavaliers,Rockets,101,116
2022-10-09,Lakers,Warriors,94,109
2022-10-10,Kings,Nuggets,104,106
2022-10-11,Warriors,Cavaliers,116,112
2022-10-12,Wizards,Pacers,105,94
2022-10-13,Bulls,Hornets,114,118
2022-10-14,Cavaliers,Timberwolves,123,105
2022-10-15,Cavaliers,Pistons,96,116
2022-10-16,Timberwolves,Thunder,120,122
2022-10-17,Pistons,76ers,120,112
2022-10-18,Heat,Lakers,105,96
2022-10-19,Wizards,Pistons,87,106
2022-10-20,Suns,Raptors,121,110
2022-10-21,Nets,Pacers,146,108
2022-10-22,Clippers,Pacers,123,108
2022-10-23,Mavericks,Lakers,80,118
2022-10-24,Nuggets,Rockets,108,103
2022-10-25,Bucks,76ers,117,110
2022-10-26,Spurs,Wizards,111,106
2022-10-27,Spurs,Wizards,108,119
2022-10-28,Timberwolves,Bulls,106,114
2022-10-29,Wizards,Bulls,98,131
2022-10-30,Heat,Bulls,116,122
2022-10-31,Rockets,Wizards,126,115
2022-11-01,Magic,Lakers,112,112
2022-11-02,Bucks,Pelicans,95,96
2022-11-03,Warriors,Grizzlies,82,99
2022-11-04,Hawks,76ers,95,118
2022-11-05,Nuggets,Celtics,108,123
2022-11-06,Hawks,Magic,122,95
2022-11-07,Raptors,Lakers,103,112
2022-11-08,Nets,Bucks,104,97
2022-11-09,Nets,Timberwolves,123,80
2022-11-10,Hornets,Mavericks,93,82
2022-11-11,Heat,Suns,122,127
2022-11-12,Jazz,Pistons,112,117
2022-11-13,Bulls,Clippers,100,120
2022-11-14,Kings,Suns,129,136
2022-11-15,Trail Blazers,Grizzlies,134,80
2022-11-16,Kings,Pacers,108,102
2022-11-17,Lakers,Suns,110,102
2022-11-18,Grizzlies,Magic,134,101
2022-11-19,Knicks,Hawks,103,118
2022-11-20,Hawks,Nuggets,102,127
2022-11-21,Pelicans,Timberwolves,104,108
2022-11-22,Lakers,Magic,132,120
2022-11-23,Hawks,Pistons,113,104
2022-11-24,Bulls,76ers,95,114
2022-11-25,Mavericks,76ers,103,114
2022-11-26,Cavaliers,Magic,121,101
2022-11-27,Grizzlies,Raptors,132,95
2022-11-28,Hawks,Pistons,96,131
2022-11-29,Magic,Grizzlies,86,97
2022-11-30,Raptors,Jazz,107,137
2022-12-01,Jazz,Hawks,116,104
2022-12-02,Bulls,Jazz,124,114
2022-12-03,Suns,Heat,91,101
2022-12-04,Nets,Lakers,112,99
2022-12-05,Rockets,Thunder,82,98
2022-12-06,Pacers,Spurs,104,105
2022-12-07,Magic,Heat,98,102
2022-12-08,Cavaliers,Raptors,121,133
2022-12-09,Magic,Pacers,136,106
2022-12-10,Clippers,Raptors,110,114
2022-12-11,Jazz,Lakers,109,89
2022-12-12,Hornets,Hawks,86,105
2022-12-13,Wizards,Nets,113,86
2022-12-14,Hornets,Cavaliers,100,124
2022-12-15,Suns,Bucks,129,87
2022-12-16,Spurs,Hornets,122,117
2022-12-17,Jazz,Magic,104,109
2022-12-18,Clippers,Jazz,103,124
2022-12-19,Pacers,Knicks,103,134
2022-12-20,Nets,Raptors,113,121
2022-12-21,Hawks,Pelicans,111,99
2022-12-22,Pistons,Magic,105,137
2022-12-23,Timberwolves,Hawks,111,112
2022-12-24,Nets,Bulls,109,103
2022-12-25,Trail Blazers,Suns,102,100
2022-12-26,Trail Blazers,Clippers,98,120
2022-12-27,Mavericks,Wizards,102,117
2022-12-28,Pacers,Pistons,119,112
2022-12-29,Raptors,Thunder,102,94
2022-12-30,Lakers,Mavericks,109,112
2022-12-31,Pacers,Wizards,122,98
2023-01-01,Grizzlies,Mavericks,115,119
2023-01-02,Jazz,Hawks,114,114
2023-01-03,Nets,Hawks,116,121
2023-01-04,Cavaliers,Warriors,100,92
2023-01-05,Wizards,Pelicans,107,97
2023-01-06,Cavaliers,Pelicans,91,106
2023-01-07,Rockets,Magic,109,93
2023-01-08,Clippers,Cavaliers,121,109
2023-01-09,Spurs,Lakers,94,116
2023-01-10,Bucks,Spurs,90,106
2023-01-11,Pelicans,76ers,98,109
2023-01-12,Trail Blazers,Bucks,101,113
2023-01-13,Hawks,Thunder,81,124
2023-01-14,Cavaliers,Heat,96,103
2023-01-15,Grizzlies,Magic,98,101
2023-01-16,Mavericks,Cavaliers,98,98
2023-01-17,Wizards,Hawks,127,116
2023-01-18,Thunder,Pistons,115,99
2023-01-19,Pistons,Trail Blazers,111,94
2023-01-20,Nets,Magic,96,109
2023-01-21,Nets,Suns,96,106
2023-01-22,Cavaliers,Suns,96,106
2023-01-23,Kings,Celtics,123,116
2023-01-24,Celtics,Pelicans,113,107
2023-01-25,Lakers,76ers,116,91
2023-01-26,Mavericks,Trail Blazers,123,105
2023-01-27,Rockets,Trail Blazers,129,96
2023-01-28,Pistons,Thunder,102,105
2023-01-29,76ers,Clippers,95,113
2023-01-30,Timberwolves,Warriors,114,101
2023-01-31,Heat,Grizzlies,138,117
2023-02-01,Pelicans,Nets,120,100
2023-02-02,Magic,Celtics,99,98
2023-02-03,Trail Blazers,Clippers,103,110
2023-02-04,Pelicans,Hawks,81,122
2023-02-05,Hawks,Spurs,92,104
2023-02-06,Rockets,Timberwolves,130,100
2023-02-07,Trail Blazers,Grizzlies,121,132
2023-02-08,76ers,Raptors,96,114
2023-02-09,Clippers,Pelicans,100,104
2023-02-10,Lakers,Celtics,108,111
2023-02-11,Bucks,Jazz,124,104
2023-02-12,Celtics,Suns,90,122
2023-02-13,76ers,Mavericks,116,131
2023-02-14,Cavaliers,Grizzlies,115,95
2023-02-15,Nuggets,Wizards,99,128
2023-02-16,Grizzlies,Rockets,110,117
2023-02-17,Suns,Trail Blazers,102,123
2023-02-18,Kings,Nets,121,115
2023-02-19,Warriors,Kings,108,106
2023-02-20,Hornets,Bulls,119,99
2023-02-21,Trail Blazers,Bucks,108,99
2023-02-22,Nuggets,Hornets,118,119
2023-02-23,Wizards,Mavericks,98,132
2023-02-24,Hawks,Kings,129,117
2023-02-25,Clippers,Trail Blazers,99,92
2023-02-26,Spurs,Kings,108,108
2023-02-27,Warriors,Nuggets,107,111
2023-02-28,Timberwolves,Spurs,94,97
2023-03-01,Hawks,Kings,105,113
2023-03-02,Magic,Knicks,103,121
2023-03-03,Cavaliers,Hornets,95,121
2023-03-04,Kings,Suns,82,111
2023-03-05,Trail Blazers,Grizzlies,94,126
2023-03-06,Knicks,Heat,89,90
2023-03-07,Bucks,Magic,114,118
2023-03-08,Bucks,Knicks,115,110
2023-03-09,Timberwolves,Raptors,112,104
2023-03-10,Trail Blazers,Raptors,105,126
2023-03-11,Hawks,Celtics,95,104
2023-03-12,Kings,Jazz,111,110
2023-03-13,Celtics,Grizzlies,102,94
2023-03-14,Cavaliers,Magic,112,94
2023-03-15,Magic,Wizards,112,101
2023-03-16,Suns,Pacers,111,136
2023-03-17,Bucks,Nets,120,100
2023-03-18,Cavaliers,Spurs,115,105
2023-03-19,Bucks,76ers,115,94
2023-03-20,Jazz,Pistons,103,115
2023-03-21,Nets,Mavericks,98,111
2023-03-22,Bucks,Wizards,116,98
2023-03-23,Clippers,Nets,99,106
2023-03-24,Knicks,Hornets,99,100
2023-03-25,Nets,Warriors,115,107
2023-03-26,Knicks,Wizards,109,118
2023-03-27,Pistons,Pacers,90,115
2023-03-28,Timberwolves,Kings,124,134
2023-03-29,Mavericks,Trail Blazers,119,110
2023-03-30,Pistons,Knicks,126,131
2023-03-31,Celtics,Pelicans,113,99
2023-04-01,Nets,Pistons,94,110
2023-04-02,Knicks,Pistons,94,105
2023-04-03,Magic,Jazz,110,119
2023-04-04,Magic,Wizards,135,99
2023-04-05,Pacers,Kings,95,114
2023-04-06,Thunder,Spurs,103,130
2023-04-07,Hawks,Pistons,106,107
2023-04-08,Pelicans,76ers,107,119
2023-04-09,Pistons,Nuggets,97,121
2023-04-10,Mavericks,Pelicans,111,106
2023-04-11,Hawks,Nuggets,116,112
2023-04-12,Kings,Grizzlies,106,110
2023-04-13,Bucks,Trail Blazers,80,115
2023-04-14,Pelicans,Raptors,94,133
2023-04-15,Trail Blazers,Lakers,108,103
2023-04-16,Hawks,Pelicans,85,111
2023-04-17,76ers,Pistons,125,106
2023-04-18,Warriors,Spurs,105,94
2023-04-19,Pistons,Pelicans,112,112
2023-04-20,Bucks,Pistons,115,117
2023-04-21,Celtics,76ers,112,123
2023-04-22,Hawks,Cavaliers,97,121
2023-04-23,Cavaliers,76ers,90,134
2023-04-24,Suns,76ers,108,118
2023-04-25,Hornets,Kings,111,112
2023-04-26,Pacers,Grizzlies,91,132
2023-04-27,76ers,Hornets,139,97
2023-04-28,Knicks,Pelicans,136,87
2023-04-29,Knicks,Pistons,109,120
2023-04-30,Hornets,Wizards,112,120
2023-05-01,Timberwolves,Nuggets,109,126
2023-05-02,Spurs,Kings,115,92
2023-05-03,Knicks,Jazz,101,89
2023-05-04,Magic,Wizards,119,122
2023-05-05,Hornets,Spurs,111,125
2023-05-06,Lakers,Jazz,112,128
2023-05-07,Rockets,Mavericks,112,108
2023-05-08,Nuggets,Mavericks,104,109
2023-05-09,Hornets,Suns,137,99
2023-05-10,Kings,Hawks,92,85
2023-05-11,Clippers,Kings,94,124
2023-05-12,Pistons,Heat,112,113
2023-05-13,Raptors,Rockets,115,85
2023-05-14,Wizards,Heat,124,100
2023-05-15,Knicks,Wizards,101,104
2023-05-16,Bulls,Mavericks,108,94
2023-05-17,Knicks,Spurs,107,118
2023-05-18,Trail Blazers,Nets,102,111
2023-05-19,Pelicans,Grizzlies,122,105
2023-05-20,Grizzlies,Magic,106,96
2023-05-21,Suns,Pacers,112,95
2023-05-22,Nuggets,Grizzlies,98,122
2023-05-23,Heat,Clippers,98,119
2023-05-24,Pelicans,Pistons,138,116
2023-05-25,Suns,Lakers,115,139
2023-05-26,Nets,Timberwolves,104,109
2023-05-27,Pistons,Lakers,127,98
2023-05-28,Mavericks,Spurs,112,109
2023-05-29,Raptors,Hawks,123,94
2023-05-30,Mavericks,Pistons,85,98
2023-05-31,Timberwolves,Pacers,104,122
2023-06-01,Suns,Pelicans,108,112
2023-06-02,Bucks,Lakers,119,100
2023-06-03,Nets,Kings,114,122
2023-06-04,Knicks,Pacers,101,107
2023-06-05,Mavericks,Timberwolves,109,94
2023-06-06,76ers,Spurs,98,100
2023-06-07,Timberwolves,Mavericks,97,103
2023-06-08,Rockets,Nets,104,115
2023-06-09,Kings,Lakers,122,112
2023-06-10,Hornets,Suns,96,121
2023-06-11,Thunder,Clippers,107,106
2023-06-12,Cavaliers,Knicks,106,103
2023-06-13,Cavaliers,Heat,124,110
2023-06-14,Kings,Cavaliers,117,116
2023-06-15,Bucks,Pistons,113,112
2023-06-16,Clippers,Hornets,126,112
2023-06-17,Lakers,Mavericks,117,111
2023-06-18,Bucks,Jazz,129,120
2023-06-19,Pacers,Thunder,112,106
2023-06-20,Pistons,Knicks,124,91
2023-06-21,Heat,Kings,104,99
2023-06-22,Thunder,Nuggets,123,91
2023-06-23,Celtics,Mavericks,103,93
2023-06-24,Knicks,Warriors,91,124
2023-06-25,Suns,Bulls,124,86
2023-06-26,Nuggets,Knicks,123,91
2023-06-27,Raptors,Trail Blazers,124,106
2023-06-28,Suns,Magic,108,95
2023-06-29,Kings,Bucks,131,117
2023-06-30,Timberwolves,Hawks,117,95
2023-07-01,Pelicans,Knicks,115,119
2023-07-02,Grizzlies,Celtics,91,106
2023-07-03,Celtics,Clippers,85,105
2023-07-04,Pacers,Mavericks,122,116
2023-07-05,Nuggets,76ers,117,133
2023-07-06,Grizzlies,Kings,114,103
2023-07-07,Nuggets,Raptors,103,98
2023-07-08,Timberwolves,Cavaliers,117,88
2023-07-09,Jazz,Magic,115,110
2023-07-10,Pistons,Hawks,99,97
2023-07-11,Timberwolves,Wizards,93,112
